STATION,STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USC00272303,EAST SANDWICH NH US,20160902,0.00,0.0,-9999,84,50,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160903,0.00,0.0,-9999,77,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160904,0.00,0.0,-9999,77,44,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160905,0.00,0.0,-9999,80,48,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160906,0.00,0.0,-9999,79,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160907,0.03,0.0,-9999,81,60,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160908,0.60,0.0,-9999,78,62,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160909,0.00,0.0,-9999,82,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160910,0.00,0.0,-9999,86,56,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160911,0.04,0.0,-9999,77,56,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160912,0.31,0.0,-9999,75,44,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1
GHCND:USC00272303,EAST SANDWICH NH US,20160913,0.00,0.0,-9999,74,43,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160914,0.01,0.0,-9999,81,48,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160915,0.01,0.0,-9999,76,42,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160916,0.00,0.0,-9999,71,39,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160917,0.00,0.0,-9999,75,38,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160918,0.24,0.0,-9999,76,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160919,0.36,0.0,-9999,75,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160920,0.07,0.0,-9999,71,63,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160921,0.00,0.0,-9999,80,57,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160922,0.00,0.0,-9999,78,52,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160923,0.01,0.0,-9999,81,53,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160924,0.04,0.0,-9999,71,38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160925,0.00,0.0,-9999,64,37,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160926,0.00,0.0,-9999,63,31,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160927,0.25,0.0,-9999,64,31,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160928,0.03,0.0,-9999,71,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160929,0.00,0.0,-9999,58,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160930,0.00,0.0,-9999,66,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161001,0.03,0.0,-9999,62,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161002,0.08,0.0,-9999,57,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161003,0.02,0.0,-9999,56,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161004,0.03,0.0,-9999,68,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
